domain,domain_slug,sub_domain,sub_domain_slug,pillar,pillar_slug,country_iso,country_emoji,country_name,country_slug,date,rating,score,outlook
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,SGP,🇸🇬,Singapore,singapore-capability-ratings,Aug 2025,NP,0,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,TJK,🇹🇯,Tajikistan,tajikistan-capability-ratings,Aug 2025,NP,0,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Quantum Computing,quantum-computing-ratings,PYF,🇵🇫,French Polynesia,french-polynesia-capability-ratings,Aug 2025,NP,0,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Quantum Computing,quantum-computing-ratings,TCA,🇹🇨,Turks and Caicos Islands,turks-and-caicos-islands-capability-ratings,Aug 2025,NP,0,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,CYP,🇨🇾,Cyprus,cyprus-capability-ratings,Aug 2025,NP,0,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,IOT,🇮🇴,British Indian Ocean Territory,british-indian-ocean-territory-capability-ratings,Aug 2025,NP,0,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,USA,🇺🇸,United States,united-states-capability-ratings,Aug 2025,AAA,20,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CHN,🇨🇳,China,china-capability-ratings,Aug 2025,AA,19,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,AUS,🇦🇺,Australia,australia-capability-ratings,Aug 2025,A,18,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CAN,🇨🇦,Canada,canada-capability-ratings,Aug 2025,A,18,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,FRA,🇫🇷,France,france-capability-ratings,Aug 2025,A,18,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GBR,🇬🇧,United Kingdom,united-kingdom-capability-ratings,Aug 2025,A,18,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ISR,🇮🇱,Israel,israel-capability-ratings,Aug 2025,A,18,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,RUS,🇷🇺,Russian Federation,russian-federation-capability-ratings,Aug 2025,A,18,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,DEU,🇩🇪,Germany,germany-capability-ratings,Aug 2025,BBB,17,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,IND,🇮🇳,India,india-capability-ratings,Aug 2025,BBB,17,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,JPN,🇯🇵,Japan,japan-capability-ratings,Aug 2025,BBB,17,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,AUT,🇦🇹,Austria,austria-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BEL,🇧🇪,Belgium,belgium-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CHE,🇨🇭,Switzerland,switzerland-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,DNK,🇩🇰,Denmark,denmark-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,FIN,🇫🇮,Finland,finland-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,HKG,🇭🇰,Hong Kong,hong-kong-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,IRL,🇮🇪,Ireland,ireland-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ISL,🇮🇸,Iceland,iceland-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,KOR,🇰🇷,"Korea, Republic of",korea-republic-of-capability-ratings,Aug 2025,BB,16,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,LUX,🇱🇺,Luxembourg,luxembourg-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,NLD,🇳🇱,Netherlands,netherlands-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,NOR,🇳🇴,Norway,norway-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,NZL,🇳🇿,New Zealand,new-zealand-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,OMN,🇴🇲,Oman,oman-capability-ratings,Aug 2025,BB,16,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,QAT,🇶🇦,Qatar,qatar-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,SAU,🇸🇦,Saudi Arabia,saudi-arabia-capability-ratings,Aug 2025,BB,16,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,SGP,🇸🇬,Singapore,singapore-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,SWE,🇸🇪,Sweden,sweden-capability-ratings,Aug 2025,BB,16,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ARE,🇦🇪,United Arab Emirates,united-arab-emirates-capability-ratings,Aug 2025,B,15,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BRA,🇧🇷,Brazil,brazil-capability-ratings,Aug 2025,B,15,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ESP,🇪🇸,Spain,spain-capability-ratings,Aug 2025,B,15,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ITA,🇮🇹,Italy,italy-capability-ratings,Aug 2025,B,15,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,KWT,🇰🇼,Kuwait,kuwait-capability-ratings,Aug 2025,B,15,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,MYS,🇲🇾,Malaysia,malaysia-capability-ratings,Aug 2025,B,15,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,PRT,🇵🇹,Portugal,portugal-capability-ratings,Aug 2025,B,15,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,TWN,🇹🇼,"Taiwan, Province of China",taiwan-province-of-china-capability-ratings,Aug 2025,B,15,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ARG,🇦🇷,Argentina,argentina-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,AZE,🇦🇿,Azerbaijan,azerbaijan-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BHR,🇧🇭,Bahrain,bahrain-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,COL,🇨🇴,Colombia,colombia-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CUB,🇨🇺,Cuba,cuba-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CZE,🇨🇿,Czechia,czechia-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GEO,🇬🇪,Georgia,georgia-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GRC,🇬🇷,Greece,greece-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,IDN,🇮🇩,Indonesia,indonesia-capability-ratings,Aug 2025,CCC,14,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,IRN,🇮🇷,"Iran, Islamic Republic of",iran-islamic-republic-of-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,MEX,🇲🇽,Mexico,mexico-capability-ratings,Aug 2025,CCC,14,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,PHL,🇵🇭,Philippines,philippines-capability-ratings,Aug 2025,CCC,14,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,POL,🇵🇱,Poland,poland-capability-ratings,Aug 2025,CCC,14,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,THA,🇹🇭,Thailand,thailand-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,TUR,🇹🇷,Turkey,turkey-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,UKR,🇺🇦,Ukraine,ukraine-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,URY,🇺🇾,Uruguay,uruguay-capability-ratings,Aug 2025,CCC,14,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,VNM,🇻🇳,Viet Nam,viet-nam-capability-ratings,Aug 2025,CCC,14,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ZAF,🇿🇦,South Africa,south-africa-capability-ratings,Aug 2025,CCC,14,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BGR,🇧🇬,Bulgaria,bulgaria-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BHS,🇧🇸,Bahamas,bahamas-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BLR,🇧🇾,Belarus,belarus-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BRN,🇧🇳,Brunei Darussalam,brunei-darussalam-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CHL,🇨🇱,Chile,chile-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CRI,🇨🇷,Costa Rica,costa-rica-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CYP,🇨🇾,Cyprus,cyprus-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ECU,🇪🇨,Ecuador,ecuador-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,EST,🇪🇪,Estonia,estonia-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,HRV,🇭🇷,Croatia,croatia-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,HUN,🇭🇺,Hungary,hungary-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,LTU,🇱🇹,Lithuania,lithuania-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,LVA,🇱🇻,Latvia,latvia-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,MLT,🇲🇹,Malta,malta-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,PAN,🇵🇦,Panama,panama-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,PER,🇵🇪,Peru,peru-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ROU,🇷🇴,Romania,romania-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,SRB,🇷🇸,Serbia,serbia-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,SVK,🇸🇰,Slovakia,slovakia-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,SVN,🇸🇮,Slovenia,slovenia-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,TTO,🇹🇹,Trinidad and Tobago,trinidad-and-tobago-capability-ratings,Aug 2025,CC,13,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ABW,🇦🇼,Aruba,aruba-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,AIA,🇦🇮,Anguilla,anguilla-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ALA,🇦🇽,Åland Islands,åland-islands-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,AND,🇦🇩,Andorra,andorra-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ASM,🇦🇸,American Samoa,american-samoa-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ATA,🇦🇶,Antarctica,antarctica-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ATF,🇹🇫,French Southern Territories,french-southern-territories-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BDI,🇧🇮,Burundi,burundi-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BES,🇧🇶,"Bonaire, Sint Eustatius and Saba",bonaire-sint-eustatius-and-saba-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BGD,🇧🇩,Bangladesh,bangladesh-capability-ratings,Aug 2025,DDD,11,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BLM,🇧🇱,Saint Barthélemy,saint-barthélemy-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BMU,🇧🇲,Bermuda,bermuda-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BVT,🇧🇻,Bouvet Island,bouvet-island-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,BWA,🇧🇼,Botswana,botswana-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CCK,🇨🇨,Cocos (Keeling) Islands,cocos-keeling-islands-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CIV,🇨🇮,Côte d'Ivoire,côte-divoire-capability-ratings,Aug 2025,DDD,11,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,COK,🇨🇰,Cook Islands,cook-islands-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,COM,🇰🇲,Comoros,comoros-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CPV,🇨🇻,Cabo Verde,cabo-verde-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CUW,🇨🇼,Curaçao,curaçao-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CXR,🇨🇽,Christmas Island,christmas-island-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,CYM,🇰🇾,Cayman Islands,cayman-islands-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,DJI,🇩🇯,Djibouti,djibouti-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,DZA,🇩🇿,Algeria,algeria-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,EGY,🇪🇬,Egypt,egypt-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,ESH,🇪🇭,Western Sahara,western-sahara-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,FLK,🇫🇰,Falkland Islands (Malvinas),falkland-islands-malvinas-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,FRO,🇫🇴,Faroe Islands,faroe-islands-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GAB,🇬🇦,Gabon,gabon-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GGY,🇬🇬,Guernsey,guernsey-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GHA,🇬🇭,Ghana,ghana-capability-ratings,Aug 2025,DDD,11,Positive
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GIB,🇬🇮,Gibraltar,gibraltar-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GIN,🇬🇳,Guinea,guinea-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GLP,🇬🇵,Guadeloupe,guadeloupe-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GNB,🇬🇼,Guinea-Bissau,guinea-bissau-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GNQ,🇬🇶,Equatorial Guinea,equatorial-guinea-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GRL,🇬🇱,Greenland,greenland-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GUF,🇬🇫,French Guiana,french-guiana-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,GUM,🇬🇺,Guam,guam-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,HMD,🇭🇲,Heard Island and McDonald Islands,heard-island-and-mcdonald-islands-capability-ratings,Aug 2025,DDD,11,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Cyber Capability,cyber-capability-ratings,IMN,🇮🇲,Isle of Man,isle-of-man-capability-ratings,Aug 2025,DDD,11,Stable
